subset,condition,seed,n,positive,negative,status,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max
source_screen_no_detected_exposure_or_absence,primary__MLP__M11,42,7757,6,7751,DESCRIPTIVE,0.801315959231067,0.00418953392457079,0.0,0.005154639175257732,0.3333333333333333,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,primary__MLP__M11,123,7757,6,7751,DESCRIPTIVE,0.7789532533436546,0.002982108216364338,0.0,0.002577319587628866,0.5,388,1,1,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,primary__MLP__M11,456,7757,6,7751,DESCRIPTIVE,0.8223455038059605,0.004049294267964632,0.0,0.005154639175257732,0.3333333333333333,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,primary__MLP__M11,789,7757,6,7751,DESCRIPTIVE,0.8237216703221091,0.004933982685605853,0.00975609756097561,0.005154639175257732,0.6666666666666666,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,primary__MLP__M11,1024,7757,6,7751,DESCRIPTIVE,0.8389885176106309,0.004298693699796643,0.0,0.005154639175257732,0.5,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M5,42,7757,6,7751,DESCRIPTIVE,0.6926848148625985,0.001851485779145525,0.0,0.0,0.3333333333333333,388,17,1,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M5,123,7757,6,7751,DESCRIPTIVE,0.6961682363565992,0.0017244464396007821,0.0,0.0,0.3333333333333333,388,22,2,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M5,456,7757,6,7751,DESCRIPTIVE,0.7408506429277942,0.001923353696151202,0.0,0.0,0.3333333333333333,388,15,13,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M5,789,7757,6,7751,DESCRIPTIVE,0.7101449275362319,0.001581580805442845,0.0,0.0,0.16666666666666666,388,12,10,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M5,1024,7757,6,7751,DESCRIPTIVE,0.7021352083602117,0.0021471900043777336,0.0,0.0,0.3333333333333333,388,23,11,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M11,42,7757,6,7751,DESCRIPTIVE,0.8645228572657292,0.0036803935025389303,0.0,0.002577319587628866,0.5,388,16,11,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M11,123,7757,6,7751,DESCRIPTIVE,0.858932180793876,0.0033824683005549,0.0,0.002577319587628866,0.3333333333333333,388,12,6,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M11,456,7757,6,7751,DESCRIPTIVE,0.8428912398400207,0.0033809207526567294,0.0,0.002577319587628866,0.16666666666666666,388,15,13,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,primary__RandomForest__M11,789,7757,6,7751,DESCRIPTIVE,0.8448264740033544,0.003685163524638829,0.0,0.005154639175257732,0.3333333333333333,388,13,12,1,0.002577319587628866,0.005154639175257732
