left,right,resampling_scheme,metric,observed_delta,ci_low,ci_high,replicates,n,positives,company_clusters
fixed1095__SAGE__M11,primary__SAGE__M11,company_x_matched_seed,p_at_5pct,-0.0004739336492890989,-0.0075829383886255874,0.005687203791469194,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_x_matched_seed,r_at_10fpr,-0.05000000000000001,-0.2,0.07619047619047614,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_x_matched_seed,roc_auc,-0.07333452168746293,-0.13875972403235967,-0.008347240681844281,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_x_matched_seed,ap,-0.01920859905723029,-0.06083930962407312,-0.004015138267455145,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_x_matched_seed,f1_val_threshold,-0.08294392036058043,-0.16493378062093078,-0.014473541075393602,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_x_matched_seed,p_at_5pct,-0.007582938388625593,-0.01957642860359346,0.005660711896159508,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_x_matched_seed,r_at_10fpr,-0.21999999999999992,-0.4666666666666666,0.015416666666666492,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_x_matched_seed,roc_auc,0.036187165775401084,-0.04911703242119138,0.11819224156403826,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_x_matched_seed,ap,-0.0038025984356016215,-0.01590628467143319,0.0019937903135250133,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_x_matched_seed,f1_val_threshold,-0.0020762423417290676,-0.02105728924080112,0.007589443360282467,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_x_matched_seed,p_at_5pct,-0.007109004739336494,-0.016152980432077822,0.0,2000,8435,20,4531
