condition,seed,archived_p5,stable_p5,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max
primary__SAGE__M11,123,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
primary__SAGE__M11,456,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
primary__SAGE__M11,789,0.011848341232227487,0.011848341232227487,8435,422,1,1,0,0.011848341232227487,0.011848341232227487
primary__SAGE__M11,1024,0.011848341232227487,0.011848341232227487,8435,422,1,1,0,0.011848341232227487,0.011848341232227487
asof__MLP__M5,42,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
asof__MLP__M5,123,0.004739336492890996,0.004739336492890996,8435,422,1,1,0,0.004739336492890996,0.004739336492890996
asof__MLP__M5,456,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
asof__MLP__M5,789,0.002369668246445498,0.002369668246445498,8435,422,1,1,0,0.002369668246445498,0.002369668246445498
asof__MLP__M5,1024,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
asof__MLP__M11,42,0.016587677725118485,0.016587677725118485,8435,422,1,1,0,0.016587677725118485,0.016587677725118485
asof__MLP__M11,123,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
asof__MLP__M11,456,0.016587677725118485,0.016587677725118485,8435,422,1,1,0,0.016587677725118485,0.016587677725118485
asof__MLP__M11,789,0.011848341232227487,0.011848341232227487,8435,422,1,1,0,0.011848341232227487,0.011848341232227487
asof__MLP__M11,1024,0.014218009478672985,0.014218009478672985,8435,422,1,1,0,0.014218009478672985,0.014218009478672985
asof__RandomForest__M5,42,0.018957345971563982,0.018957345971563982,8435,422,16,16,0,0.018957345971563982,0.018957345971563982
asof__RandomForest__M5,123,0.02132701421800948,0.02132701421800948,8435,422,18,18,0,0.02132701421800948,0.02132701421800948
asof__RandomForest__M5,456,0.018957345971563982,0.018957345971563982,8435,422,20,16,0,0.018957345971563982,0.018957345971563982
asof__RandomForest__M5,789,0.02132701421800948,0.02132701421800948,8435,422,18,13,0,0.02132701421800948,0.02132701421800948
asof__RandomForest__M5,1024,0.016587677725118485,0.016587677725118485,8435,422,19,4,1,0.016587677725118485,0.018957345971563982
asof__RandomForest__M11,42,0.023696682464454975,0.023696682464454975,8435,422,13,6,0,0.023696682464454975,0.023696682464454975
asof__RandomForest__M11,123,0.02132701421800948,0.02132701421800948,8435,422,26,22,0,0.02132701421800948,0.02132701421800948
asof__RandomForest__M11,456,0.02132701421800948,0.02132701421800948,8435,422,20,13,0,0.02132701421800948,0.02132701421800948
asof__RandomForest__M11,789,0.018957345971563982,0.018957345971563982,8435,422,20,5,1,0.018957345971563982,0.02132701421800948
asof__RandomForest__M11,1024,0.02132701421800948,0.02132701421800948,8435,422,19,6,0,0.02132701421800948,0.02132701421800948
fixed1095__MLP__M11,42,0.011848341232227487,0.011848341232227487,8435,422,1,1,0,0.011848341232227487,0.011848341232227487
fixed1095__MLP__M11,123,0.011848341232227487,0.011848341232227487,8435,422,1,1,1,0.011848341232227487,0.011848341232227487
fixed1095__MLP__M11,456,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
fixed1095__MLP__M11,789,0.016587677725118485,0.016587677725118485,8435,422,1,1,0,0.016587677725118485,0.016587677725118485
fixed1095__MLP__M11,1024,0.011848341232227487,0.011848341232227487,8435,422,1,1,0,0.011848341232227487,0.011848341232227487
fixed1095__RandomForest__M11,42,0.018957345971563982,0.018957345971563982,8435,422,18,15,0,0.018957345971563982,0.018957345971563982
