scenario,model,modal,seed,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr,n,n_pos,best_val_auc,runtime_seconds
asof,RandomForest,M5,1024,0.8220677361853833,0.03379211605319767,0.09090909090909091,0.016587677725118485,0.6,8435,20,0.8693785252441877,7.739622116088867
fixed1095,GCN,M11,42,0.7815389185977422,0.008456985760744686,0.011235955056179775,0.0071090047393364926,0.5,8435,20,0.7996814936847886,16.156277418136597
fixed1095,GCN,M11,123,0.8106833036244802,0.008049132836491047,0.00749063670411985,0.0071090047393364926,0.4,8435,20,0.8330971993410214,18.197075128555298
fixed1095,GCN,M11,456,0.7542543077837196,0.007602150672445135,0.0,0.0071090047393364926,0.5,8435,20,0.7970236133992311,15.433542251586914
fixed1095,GCN,M11,789,0.7379857397504457,0.007557614207646982,0.0,0.011848341232227487,0.35,8435,20,0.8208347062053816,21.07550859451294
fixed1095,GCN,M11,1024,0.7469162210338681,0.005580186405850598,0.0,0.002369668246445498,0.2,8435,20,0.8352224052718287,14.079257488250732
fixed1095,GraphSAGE,M11,42,0.7495424836601308,0.007048087761262012,0.0,0.009478672985781991,0.45,8435,20,0.8591378363536518,13.498096704483032
fixed1095,GraphSAGE,M11,123,0.7230718954248365,0.008013072365992809,0.0,0.011848341232227487,0.45,8435,20,0.8362602965403625,15.643000602722168
fixed1095,GraphSAGE,M11,456,0.6887581699346406,0.007597440982892712,0.023809523809523808,0.009478672985781991,0.35,8435,20,0.8390280065897858,15.08693552017212
fixed1095,GraphSAGE,M11,789,0.7308793820558527,0.007251530932379475,0.0,0.009478672985781991,0.35,8435,20,0.8437506864360242,13.84787368774414
fixed1095,GraphSAGE,M11,1024,0.7959893048128341,0.0072023390903778765,0.0,0.004739336492890996,0.35,8435,20,0.853602416254805,13.362807750701904
fixed1095,MLP,M11,42,0.8362269756387404,0.011761419271222534,0.0,0.011848341232227487,0.55,8435,20,0.8389511257550797,0.17169427871704102
fixed1095,MLP,M11,123,0.8002317290552585,0.008752900186955237,0.008849557522123894,0.011848341232227487,0.45,8435,20,0.8593739703459639,0.2073841094970703
fixed1095,MLP,M11,456,0.8336363636363637,0.009496629471618355,0.0,0.009478672985781991,0.45,8435,20,0.8314552443712248,0.22469568252563477
fixed1095,MLP,M11,789,0.824896019013666,0.010207860247924425,0.0,0.016587677725118485,0.5,8435,20,0.8528995057660625,0.13971590995788574
fixed1095,MLP,M11,1024,0.8159150326797385,0.0092247833876115,0.0,0.011848341232227487,0.45,8435,20,0.8544151565074134,0.24095416069030762
fixed1095,RandomForest,M11,42,0.7561734997029115,0.012713725352272661,0.0,0.018957345971563982,0.5,8435,20,0.870282811641955,8.69552731513977
fixed1095,RandomForest,M11,123,0.7861437908496732,0.01479598168840283,0.0,0.02132701421800948,0.5,8435,20,0.8812081274025261,8.711304187774658
fixed1095,RandomForest,M11,456,0.7727658942364825,0.013882188285825199,0.019230769230769232,0.018957345971563982,0.5,8435,20,0.8695908841295992,8.671745300292969
fixed1095,RandomForest,M11,789,0.7959150326797385,0.013955087155439996,0.0,0.018957345971563982,0.5,8435,20,0.865840197693575,8.582033634185791
fixed1095,RandomForest,M11,1024,0.818972073677956,0.013109602261399473,0.0,0.018957345971563982,0.45,8435,20,0.8631274025260846,8.636520862579346
