identity,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,roc_auc_archived,roc_auc_unified,roc_auc_delta,ap_archived,ap_unified,ap_delta,f1_val_threshold_archived,f1_val_threshold_unified,f1_val_threshold_delta,p_at_5pct_archived,p_at_5pct_unified,p_at_5pct_delta,r_at_10fpr_archived,r_at_10fpr_unified,r_at_10fpr_delta,p5_difference_preserved_not_silently_overwritten
ORIGINAL_RGCN_G6_seed1024,8435,422,152,116,0,0.0,0.0,0.5135472370766488,0.5135472370766488,0.0,0.002436739175530604,0.0024367391755306046,4.336808689942018e-19,0.0024464831804281344,0.0024464831804281344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ORIGINAL_RGCN_M11_seed42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.747296494355318,0.7472964943553178,-2.220446049250313e-16,0.006893326785998246,0.0068933267859982465,8.673617379884035e-19,0.015267175572519083,0.015267175572519083,0.0,0.009478672985781991,0.009478672985781991,0.0,0.3,0.3,0.0,False
ORIGINAL_RGCN_M11_seed123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.7100653594771242,0.7100653594771241,-1.1102230246251565e-16,0.00699821703114918,0.00699821703114918,0.0,0.015444015444015444,0.015444015444015444,0.0,0.009478672985781991,0.009478672985781991,0.0,0.35,0.35,0.0,False
ORIGINAL_RGCN_M11_seed456,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.6688948306595366,0.6688948306595365,-1.1102230246251565e-16,0.008608218782898353,0.008608218782898353,0.0,0.01639344262295082,0.01639344262295082,0.0,0.011848341232227487,0.011848341232227487,0.0,0.35,0.35,0.0,False
ORIGINAL_RGCN_M11_seed789,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.7420380273321449,0.7420380273321449,0.0,0.008847707851213228,0.00884770785121323,1.734723475976807e-18,0.019417475728155338,0.019417475728155338,0.0,0.009478672985781991,0.009478672985781991,0.0,0.45,0.45,0.0,False
ORIGINAL_RGCN_M11_seed1024,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.7107189542483661,0.710718954248366,-1.1102230246251565e-16,0.006330709178800984,0.006330709178800985,8.673617379884035e-19,0.013333333333333334,0.013333333333333334,0.0,0.009478672985781991,0.009478672985781991,0.0,0.3,0.3,0.0,False
ORIGINAL_SAGE_G6_seed42,8435,422,47,25,0,0.0,0.0,0.5563963161021984,0.5563963161021984,0.0,0.0027027814113919435,0.0027027814113919435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ORIGINAL_SAGE_G6_seed123,8435,422,1,1,0,0.0,0.0,0.4179590017825312,0.4179590017825312,0.0,0.001959143431240071,0.0019591434312400714,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ORIGINAL_SAGE_G6_seed456,8435,422,1,1,0,0.0,0.0,0.436301247771836,0.436301247771836,0.0,0.0020314005770218574,0.0020314005770218574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ORIGINAL_SAGE_G6_seed789,8435,422,1,1,0,0.0,0.0,0.4348306595365419,0.4348306595365419,0.0,0.002045921387903585,0.002045921387903585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
