condition,seed,best_epoch,validation_auc,validation_threshold,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr
ORIGINAL_RGCN_G6,123,1,0.5793713027926812,0.5073659420013428,0.47604575163398694,0.002178770943785809,0.0,0.0,0.0
ORIGINAL_RGCN_G6,456,1,0.5369565965057091,0.463392436504364,0.3989067142008318,0.0019583679389886146,0.0018709073900841909,0.0,0.05
ORIGINAL_RGCN_G6,789,1,0.5374552895859128,0.4717038571834564,0.5094771241830066,0.0024275993745373863,0.00424757281553398,0.0,0.1
ORIGINAL_RGCN_G6,1024,7,0.5279835603246664,0.4572640657424927,0.5135472370766488,0.0024367391755306046,0.0024464831804281344,0.0,0.0
ORIGINAL_RGCN_M11,42,20,0.8017196313110468,0.8894778490066528,0.7472964943553178,0.0068933267859982465,0.015267175572519083,0.009478672985781991,0.3
ORIGINAL_RGCN_M11,123,19,0.8072620030265512,0.8270145058631897,0.7100653594771241,0.00699821703114918,0.015444015444015444,0.009478672985781991,0.35
ORIGINAL_RGCN_M11,456,18,0.7814107855275829,0.9204667806625366,0.6688948306595365,0.008608218782898353,0.01639344262295082,0.011848341232227487,0.35
ORIGINAL_RGCN_M11,789,11,0.8156073737790618,0.8146232962608337,0.7420380273321449,0.00884770785121323,0.019417475728155338,0.009478672985781991,0.45
ORIGINAL_RGCN_M11,1024,12,0.778150364561838,0.7772615551948547,0.710718954248366,0.006330709178800985,0.013333333333333334,0.009478672985781991,0.3
ORIGINAL_SAGE_G6,42,6,0.522540927225203,0.4781780242919922,0.5563963161021984,0.0027027814113919435,0.0,0.0,0.0
ORIGINAL_SAGE_G6,123,5,0.5454704911267024,0.4687272012233734,0.4179590017825312,0.0019591434312400714,0.0,0.0,0.0
ORIGINAL_SAGE_G6,456,1,0.49287728710964374,0.42839378118515015,0.436301247771836,0.0020314005770218574,0.0,0.0,0.0
ORIGINAL_SAGE_G6,789,1,0.5211789792268537,0.45705071091651917,0.4348306595365419,0.002045921387903585,0.0,0.0,0.0
ORIGINAL_SAGE_G6,1024,1,0.49239750997386167,0.46277379989624023,0.45030005941770646,0.0020916446517342726,0.0,0.0,0.0
ORIGINAL_SAGE_M11,42,9,0.810701265648645,0.788947582244873,0.7431253713606655,0.007283477250360342,0.00881057268722467,0.009478672985781991,0.4
ORIGINAL_SAGE_M11,123,11,0.834712477644793,0.9005998969078064,0.7815686274509803,0.009874356268980075,0.0,0.014218009478672985,0.45
ORIGINAL_SAGE_M11,456,10,0.8250619067271977,0.8200194835662842,0.7836779560308971,0.008441665270364891,0.023529411764705882,0.0071090047393364926,0.4
ORIGINAL_SAGE_M11,789,12,0.8309172513413123,0.8199896216392517,0.7575995246583482,0.008494978110424638,0.027649769585253458,0.009478672985781991,0.45
ORIGINAL_SAGE_M11,1024,10,0.812685720181593,0.7944670915603638,0.733749257278669,0.007733717548409797,0.023076923076923078,0.014218009478672985,0.35
REVERSE_GCN_M11,42,15,0.8303239785390012,0.8834533095359802,0.8058823529411765,0.008526330826799959,0.010362694300518135,0.009478672985781991,0.5
REVERSE_GCN_M11,123,11,0.812534392626221,0.8293024301528931,0.8387462863933453,0.009145460169178148,0.007326007326007326,0.0071090047393364926,0.5
REVERSE_GCN_M11,456,8,0.8005846746457559,0.7018065452575684,0.8199168152109328,0.008660838867232774,0.008130081300813009,0.004739336492890996,0.5
REVERSE_GCN_M11,789,12,0.7862773421378457,0.8668327331542969,0.823321449792038,0.008424496908394594,0.01098901098901099,0.004739336492890996,0.5
REVERSE_GCN_M11,1024,11,0.798607098638052,0.7881815433502197,0.8027035056446821,0.006752076253683716,0.006060606060606061,0.002369668246445498,0.35
REVERSE_GCN_G6,42,62,0.6723018984729674,0.503594696521759,0.5767914438502674,0.005069725737322564,0.0,0.0071090047393364926,0.2
REVERSE_GCN_G6,123,30,0.6764788829275004,0.4906681478023529,0.5834640522875817,0.005436462257976138,0.0,0.0071090047393364926,0.25
REVERSE_GCN_G6,456,33,0.6748813454395378,0.49161818623542786,0.5797504456327986,0.0053756536818822245,0.0,0.0071090047393364926,0.2
REVERSE_GCN_G6,789,7,0.680311941119824,0.4793218672275543,0.5928698752228163,0.0053477514230603936,0.0,0.0071090047393364926,0.25
REVERSE_GCN_G6,1024,33,0.67866281469253,0.49267640709877014,0.5839364230540701,0.005390085755752803,0.0,0.0071090047393364926,0.25
REVERSE_GAT_M11,42,7,0.8207009217223827,0.9201738238334656,0.8305109922756981,0.009700176646923173,0.0,0.016587677725118485,0.5
REVERSE_GAT_M11,123,19,0.7349893382858717,0.9131700992584229,0.5911556743909685,0.0035319759079839906,0.004366812227074236,0.002369668246445498,0.15
REVERSE_GAT_M11,456,4,0.8177225202916496,0.8386722803115845,0.7492572786690435,0.004949137022653796,0.005008347245409015,0.002369668246445498,0.1
REVERSE_GAT_M11,789,5,0.7641594442151602,0.7736313939094543,0.6812477718360072,0.00439511699611204,0.004234297812279464,0.004739336492890996,0.1
REVERSE_GAT_M11,1024,10,0.8109884440775897,0.9275922179222107,0.7092156862745098,0.0038444832944917844,0.004016064257028112,0.004739336492890996,0.0
REVERSE_GAT_G6,42,4,0.6246268400055028,0.489123672246933,0.6039869281045751,0.003747362343777146,0.0,0.002369668246445498,0.2
REVERSE_GAT_G6,123,4,0.64541718255606,0.48866716027259827,0.6252198455139631,0.004459930900252148,0.0,0.004739336492890996,0.2
REVERSE_GAT_G6,456,7,0.6402548493602972,0.4842323064804077,0.6159328579916815,0.004160243866511537,0.0,0.004739336492890996,0.2
REVERSE_GAT_G6,789,1,0.6203827899298391,0.4905151128768921,0.5999762329174094,0.0036266542260794394,0.0,0.002369668246445498,0.2
REVERSE_GAT_G6,1024,17,0.6215194662264409,0.4982447326183319,0.6011705288175877,0.0036440341956048344,0.0,0.002369668246445498,0.2
REVERSE_SAGE_M11,42,4,0.8186201678360161,0.7077657580375671,0.810326797385621,0.008532559416982463,0.009216589861751152,0.0071090047393364926,0.4
REVERSE_SAGE_M11,123,8,0.8223483285183656,0.8439841270446777,0.8530005941770648,0.011701294198120523,0.0,0.009478672985781991,0.6
