label,condition,protocol,n_boot,cluster_unit,test_n,test_pos,unique_company_clusters,roc_auc_mean,roc_auc_ci_lo,roc_auc_ci_hi,ap_mean,ap_ci_lo,ap_ci_hi,f1_mean,f1_ci_lo,f1_ci_hi,p_at_5pct_mean,p_at_5pct_ci_lo,p_at_5pct_ci_hi,r_at_10fpr_mean,r_at_10fpr_ci_lo,r_at_10fpr_ci_hi
label_v1_strict_ab_primary,TABUW_XGBoost_M11,tabular_unweighted,2000,company_code,8435,20,4531,0.7355793226381462,0.6108508668099136,0.8628395126271621,0.009388571049088081,0.004412439478328992,0.02195431020975392,0.0,0.0,0.0,0.009478672985781991,0.0,0.018957345971563982,0.45,0.23529411764705882,0.7
label_v1_strict_ab_primary,TABUW_XGBoost_M5,tabular_unweighted,2000,company_code,8435,20,4531,0.665359477124183,0.5289570844726055,0.8048080107682115,0.01959317329012164,0.0030848664922586066,0.10130996639798398,0.037037037037037035,0.0,0.11538461538461539,0.014218009478672985,0.002369668246445498,0.02843601895734597,0.3,0.09090909090909091,0.5714285714285714
label_v1_strict_ab_primary,TABUW_Lasso_M11,tabular_unweighted,2000,company_code,8435,20,4531,0.6590350564468211,0.5038334773830666,0.8177856552312487,0.00979020272982314,0.003413160004268298,0.03420967993608229,0.02777777777777778,0.0,0.0730061185057964,0.011848341232227487,0.002369668246445498,0.023752969121140142,0.3,0.10526315789473684,0.5555555555555556
label_v1_strict_ab_primary,TABUW_Ridge_M11,tabular_unweighted,2000,company_code,8435,20,4531,0.6531491384432561,0.49953654298987643,0.8116441845595866,0.009225968175263204,0.0033119678193679223,0.031474466019649025,0.029411764705882353,0.0,0.0967741935483871,0.011848341232227487,0.002364066193853428,0.02364066193853428,0.3,0.10526315789473684,0.5555555555555556
label_v1_strict_ab_primary,TABUW_Lasso_M10,tabular_unweighted,2000,company_code,8435,20,4531,0.6396387403446228,0.4848406074609131,0.7873031960066899,0.010567374924730817,0.0035578083756406136,0.037456895340103206,0.043795620437956206,0.0,0.09655172413793103,0.011848341232227487,0.002369668246445498,0.023696682464454975,0.35,0.15,0.5882352941176471
label_v1_strict_ab_primary,TABUW_Ridge_M10,tabular_unweighted,2000,company_code,8435,20,4531,0.6371420083184789,0.4818940025509421,0.7883533990775918,0.01052230296287559,0.003562253269608558,0.035619250824370986,0.024691358024691357,0.0,0.0821917808219178,0.011848341232227487,0.002369668246445498,0.023696682464454975,0.35,0.13789184952978056,0.5714285714285714
label_v1_strict_ab_primary,TABUW_Lasso_M5,tabular_unweighted,2000,company_code,8435,20,4531,0.6363101604278074,0.5057969759975168,0.7571636781208146,0.0045521964773378686,0.0022854595549757777,0.010109213169349552,0.01020408163265306,0.0,0.03278688524590164,0.004739336492890996,0.0,0.011849044815436048,0.15,0.0,0.32
label_v1_strict_ab_primary,TABUW_Ridge_M5,tabular_unweighted,2000,company_code,8435,20,4531,0.6267260843731433,0.49154029524986775,0.7545905448717004,0.004726195297139393,0.0022819058042940466,0.012370348797636021,0.011363636363636364,0.0,0.03659097710609004,0.004739336492890996,0.0,0.011849044815436048,0.2,0.04756493506493507,0.4
label_v1_strict_ab_primary,TABW_RandomForest_M11,tabular_weighted,2000,company_code,8435,20,4531,0.8069382055852644,0.7367413156421448,0.8769685940896488,0.011288556138737218,0.004871069543696899,0.03508406280430086,0.021486923831317423,0.0,0.07165742712209865,0.014218009478672985,0.004727853606316071,0.026066350710900472,0.36000000000000004,0.15789473684210525,0.6000000000000001
label_v1_strict_ab_primary,TABW_RandomForest_M10,tabular_weighted,2000,company_code,8435,20,4531,0.789863339275104,0.7015102388725276,0.869252447733842,0.011721407191623488,0.005021405117943803,0.03513707037282803,0.013413067552602437,0.0,0.04512610547347387,0.014218009478672985,0.004728132387706856,0.026128266033254154,0.38,0.16248511904761906,0.6153846153846154
label_v1_strict_ab_primary,TABW_RandomForest_M5,tabular_weighted,2000,company_code,8435,20,4531,0.7603315508021391,0.6669663808683669,0.8516248210452666,0.012999286615008076,0.003945001893787333,0.058530413411735184,0.03901200127367356,0.0,0.1141851368331125,0.015165876777251185,0.004265402843601896,0.028437707557046516,0.35,0.11111111111111112,0.6
label_v1_strict_ab_primary,TABW_XGBoost_M10,tabular_weighted,2000,company_code,8435,20,4531,0.6920499108734403,0.5669058465243393,0.8255753665496626,0.005539796896417045,0.0026922495180471168,0.011583147538216194,0.0,0.0,0.0,0.009478672985781991,0.0,0.018957345971563982,0.3,0.11111111111111112,0.5333333333333333
label_v1_strict_ab_primary,TABW_XGBoost_M5,tabular_weighted,2000,company_code,8435,20,4531,0.66825311942959,0.5277566144823916,0.8013125641726626,0.00875537594081345,0.00316160738267999,0.022902703522575216,0.027972027972027975,0.0,0.07142857142857142,0.016587677725118485,0.004728132387706856,0.030880697884854643,0.35,0.11111111111111112,0.6
label_v1_strict_ab_primary,TABW_Lasso_M10,tabular_weighted,2000,company_code,8435,20,4531,0.6590802139037433,0.4955723324637931,0.8076024979782527,0.007407166538043357,0.003027603403224457,0.021229413995166542,0.0,0.0,0.0,0.009478672985781991,0.0023584905660377358,0.01904761904761905,0.25,0.07142857142857142,0.5
label_v1_strict_ab_primary,TABW_XGBoost_M11,tabular_weighted,2000,company_code,8435,20,4531,0.6585323826500297,0.5247827556054118,0.7939046471326442,0.0050433274126755285,0.0024761538457295095,0.010854110436952143,0.0,0.0,0.0,0.002369668246445498,0.0,0.014184397163120565,0.3,0.11101190476190477,0.5454545454545454
label_v1_strict_ab_primary,TABW_Lasso_M11,tabular_weighted,2000,company_code,8435,20,4531,0.657648247177659,0.49286090231002383,0.8161012125648514,0.0074193054969897785,0.0029817804612636187,0.022261442990293107,0.0,0.0,0.0,0.009478672985781991,0.0,0.018957345971563982,0.3,0.1,0.5263931888544887
label_v1_strict_ab_primary,TABW_Ridge_M10,tabular_weighted,2000,company_code,8435,20,4531,0.6569637551990494,0.489677200131453,0.8081352179253187,0.007611008921434234,0.003069185326234212,0.02190632571695631,0.0,0.0,0.0,0.009478672985781991,0.0023584905660377358,0.01904761904761905,0.3,0.11111111111111112,0.5555555555555556
label_v1_strict_ab_primary,TABW_Ridge_M11,tabular_weighted,2000,company_code,8435,20,4531,0.6558526440879382,0.4869247133049895,0.8176190522287468,0.007493312792089072,0.0030021022822640424,0.021814166992710684,0.0,0.0,0.0,0.009478672985781991,0.0023584905660377358,0.01904761904761905,0.3,0.11111111111111112,0.5789473684210527
label_v1_strict_ab_primary,TABW_Lasso_M5,tabular_weighted,2000,company_code,8435,20,4531,0.6370885323826501,0.48738816310372124,0.770539025037587,0.006019146393074123,0.0024010404236108583,0.019145390186469352,0.02777777777777778,0.0,0.09090909090909091,0.0071090047393364926,0.0,0.016548463356973995,0.3,0.11748366013071897,0.47368421052631576
label_v1_strict_ab_primary,TABW_Ridge_M5,tabular_weighted,2000,company_code,8435,20,4531,0.6363874034462269,0.4877519534275668,0.7702194791608478,0.005719570404936021,0.0023242297656693384,0.01822528838604835,0.024096385542168676,0.0,0.07894736842105263,0.004739336492890996,0.0,0.011876484560570071,0.25,0.07692307692307693,0.4166666666666667
