population,condition,seed,n,positive,negative,budget,roc_auc,reference_subset,reference_auc,overlap_minus_reference
O,fixed1095__GCN__M11,456,8428,13,8415,422,0.8981854746560628,positive_no_detected_earlier_doc_vs_all_negatives,0.4869535693065104,0.4112319053495524
S_overlap,fixed1095__GCN__M11,456,7755,4,7751,388,0.9252031995871501,intersection_doc_and_source_screen,0.4290414140110953,0.49616178557605484
O,fixed1095__GCN__M11,789,8428,13,8415,422,0.8242972713560951,positive_no_detected_earlier_doc_vs_all_negatives,0.5776928953399542,0.24660437601614094
S_overlap,fixed1095__GCN__M11,789,7755,4,7751,388,0.9133337633853695,intersection_doc_and_source_screen,0.6299832279705844,0.28335053541478517
O,fixed1095__GCN__M11,1024,8428,13,8415,422,0.7592394533571003,positive_no_detected_earlier_doc_vs_all_negatives,0.7240302181478652,0.035209235209235135
S_overlap,fixed1095__GCN__M11,1024,7755,4,7751,388,0.7738356341117274,intersection_doc_and_source_screen,0.7949296864920656,-0.021094052380338235
O,fixed1095__SAGE__M11,42,8428,13,8415,422,0.8887152063622653,positive_no_detected_earlier_doc_vs_all_negatives,0.4910788557847381,0.3976363505775272
S_overlap,fixed1095__SAGE__M11,42,7755,4,7751,388,0.9199458134434267,intersection_doc_and_source_screen,0.3538898206683008,0.5660559927751259
O,fixed1095__SAGE__M11,123,8428,13,8415,422,0.8438319850084557,positive_no_detected_earlier_doc_vs_all_negatives,0.498803157626687,0.3450288273817687
S_overlap,fixed1095__SAGE__M11,123,7755,4,7751,388,0.9515546381112115,intersection_doc_and_source_screen,0.392723519545865,0.5588311185653465
O,fixed1095__SAGE__M11,456,8428,13,8415,422,0.7954842543077837,positive_no_detected_earlier_doc_vs_all_negatives,0.4905525846702318,0.3049316696375519
S_overlap,fixed1095__SAGE__M11,456,7755,4,7751,388,0.9060121274674234,intersection_doc_and_source_screen,0.2998322797058443,0.6061798477615792
O,fixed1095__SAGE__M11,789,8428,13,8415,422,0.8333653274829745,positive_no_detected_earlier_doc_vs_all_negatives,0.5405483405483406,0.292816986934634
S_overlap,fixed1095__SAGE__M11,789,7755,4,7751,388,0.9082699006579794,intersection_doc_and_source_screen,0.3848535672816411,0.5234163333763383
O,fixed1095__SAGE__M11,1024,8428,13,8415,422,0.874454956807898,positive_no_detected_earlier_doc_vs_all_negatives,0.6502673796791443,0.2241875771287537
S_overlap,fixed1095__SAGE__M11,1024,7755,4,7751,388,0.9027544832924784,intersection_doc_and_source_screen,0.4625854728422139,0.4401690104502645
