label,condition,protocol,n_seeds,test_n,test_pos,roc_auc_mean,roc_auc_sd,ap_mean,ap_sd,f1_mean,f1_sd,p_at_5pct_mean,p_at_5pct_sd,r_at_10fpr_mean,r_at_10fpr_sd
label_v1_strict_ab_primary,TABUW_XGBoost_M5,tabular_unweighted,5,8435,20,0.665359477124183,0.0,0.01959317329012164,0.0,0.037037037037037035,0.0,0.014218009478672985,0.0,0.3,0.0
label_v1_strict_ab_primary,TABW_Lasso_M10,tabular_weighted,5,8435,20,0.6590802139037433,6.508883630497608e-06,0.007407166538043357,2.1638157558373038e-08,0.0,0.0,0.009478672985781991,0.0,0.25,0.0
label_v1_strict_ab_primary,TABW_Lasso_M11,tabular_weighted,5,8435,20,0.657648247177659,3.8138577625367296e-05,0.0074193054969897785,3.8745294905345916e-07,0.0,0.0,0.009478672985781991,0.0,0.3,0.0
label_v1_strict_ab_primary,TABW_Lasso_M5,tabular_weighted,5,8435,20,0.6370885323826501,1.1102230246251565e-16,0.006019146393074123,4.729568039544056e-07,0.02777777777777778,3.878959614448864e-18,0.0071090047393364926,0.0,0.3,0.0
label_v1_strict_ab_primary,TABW_RandomForest_M10,tabular_weighted,5,8435,20,0.789863339275104,0.016073128384466843,0.011721407191623488,0.0007478869286349273,0.013413067552602437,0.012330596100981535,0.014218009478672985,0.0,0.38,0.02738612787525833
label_v1_strict_ab_primary,TABW_RandomForest_M11,tabular_weighted,5,8435,20,0.8069382055852644,0.017211169795901277,0.011288556138737218,0.0006385107530975074,0.021486923831317423,0.0014391674337320152,0.014218009478672985,0.0,0.36000000000000004,0.022360679774997918
label_v1_strict_ab_primary,TABW_RandomForest_M5,tabular_weighted,5,8435,20,0.7603315508021391,0.008963355648802261,0.012999286615008076,0.0008903638598479775,0.03901200127367356,0.016058881279138532,0.015165876777251185,0.0012979207523819113,0.35,0.0
label_v1_strict_ab_primary,TABW_Ridge_M10,tabular_weighted,5,8435,20,0.6569637551990494,0.0,0.007611008921434234,9.69739903612216e-19,0.0,0.0,0.009478672985781991,0.0,0.3,0.0
label_v1_strict_ab_primary,TABW_Ridge_M11,tabular_weighted,5,8435,20,0.6558526440879382,0.0,0.007493312792089072,0.0,0.0,0.0,0.009478672985781991,0.0,0.3,0.0
label_v1_strict_ab_primary,TABW_Ridge_M5,tabular_weighted,5,8435,20,0.6363874034462269,0.0,0.005719570404936021,0.0,0.024096385542168676,0.0,0.004739336492890996,0.0,0.25,0.0
label_v1_strict_ab_primary,TABW_XGBoost_M10,tabular_weighted,5,8435,20,0.6920499108734403,0.0,0.005539796896417045,0.0,0.0,0.0,0.009478672985781991,0.0,0.3,0.0
label_v1_strict_ab_primary,TABW_XGBoost_M11,tabular_weighted,5,8435,20,0.6585323826500297,0.0,0.0050433274126755285,0.0,0.0,0.0,0.002369668246445498,0.0,0.3,0.0
label_v1_strict_ab_primary,TABW_XGBoost_M5,tabular_weighted,5,8435,20,0.66825311942959,0.0,0.00875537594081345,0.0,0.027972027972027975,3.878959614448864e-18,0.016587677725118485,0.0,0.35,0.0
label_v1_strict_aonly_sensitivity,AONLY_GAT_M11,label_sensitivity,5,8434,19,0.599934327798105,0.025408858578625248,0.003502564836994583,0.0004822208700802734,0.0018264840182648401,0.00408414242465715,0.002369668246445498,0.002902239031733623,0.1368421052631579,0.06000923289995463
label_v1_strict_aonly_sensitivity,AONLY_GCN_M11,label_sensitivity,5,8434,19,0.6395434218344435,0.03667756519049682,0.003664792741780671,0.0006805840780974004,0.0,0.0,0.0009478672985781991,0.0012979207523819102,0.14736842105263157,0.13623346426889246
label_v1_strict_aonly_sensitivity,AONLY_MLP_M11,label_sensitivity,5,8434,19,0.8180529755761953,0.015222721434169638,0.010106334990622487,0.00061140649633599,0.018778329591535383,0.010525050594249723,0.011848341232227489,0.002369668246445497,0.44210526315789467,0.047075115315785045
label_v1_strict_aonly_sensitivity,AONLY_RGCN_M11,label_sensitivity,5,8434,19,0.649762016449323,0.047541388656874795,0.007481702960046429,0.0014912084702965454,0.024321985815602836,0.00538007069141391,0.008530805687203791,0.002119495713269943,0.29473684210526313,0.047075115315785045
label_v1_strict_aonly_sensitivity,AONLY_SAGE_M11,label_sensitivity,5,8434,19,0.721914501047628,0.024181721268902515,0.007302194891718512,0.0008596764450312097,0.014838708155362021,0.009927328784026874,0.009004739336492892,0.001059747856634972,0.3473684210526316,0.028827503026587688
label_v1_loose_ab_sensitivity,LOOSE_GAT_M11,label_sensitivity,5,8424,31,0.6557788172171126,0.03653265696513839,0.008116260003286607,0.001954932077572742,0.005516052574876105,0.009516884641037513,0.00900473933649289,0.0030896693863519654,0.2774193548387097,0.11540996012902141
label_v1_loose_ab_sensitivity,LOOSE_GCN_M11,label_sensitivity,5,8424,31,0.6762328822405768,0.026820152045035326,0.008191519892139126,0.0011041941186420005,0.0,0.0,0.008530805687203791,0.002119495713269943,0.27096774193548384,0.04327873504838303
label_v1_loose_ab_sensitivity,LOOSE_MLP_M11,label_sensitivity,5,8424,31,0.8290464788245195,0.023993177014021375,0.01861882359135018,0.0012364552939919768,0.03263611182877124,0.012301186180570984,0.024644549763033173,0.0021194957132699417,0.5290322580645161,0.048921777058397106
label_v1_loose_ab_sensitivity,LOOSE_RGCN_M11,label_sensitivity,5,8424,31,0.7673802669659432,0.016201820590974154,0.0170451035198347,0.0016514577278494134,0.030260537186240923,0.01235632227374051,0.023696682464454975,0.001675608486224045,0.4645161290322581,0.04892177705839708
label_v1_loose_ab_sensitivity,LOOSE_SAGE_M11,label_sensitivity,5,8424,31,0.7722564502676962,0.01999309990942856,0.016978457837940393,0.0016355431424549545,0.03390878250636082,0.009603575196409668,0.022748815165876776,0.0012979207523819084,0.5290322580645161,0.028852490032255325
