left_condition,right_condition,delta_definition,resampling_scheme,metric,observed_mean_paired_delta,seed_paired_delta_sd,ci_low,ci_high,n_matched_seeds,n_company_clusters,n_test_rows,n_test_positives,bootstrap_replicates
STORED_MLP_M11,REVERSE_GAT_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.27,0.18907670401189036,0.10586687306501544,0.43333333333333335,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.014546642899584027,0.03229158793623051,-0.011987084473228174,0.039813659468316484,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,ap,0.0017919212490702385,0.0019922880187609724,-0.0014614452034563848,0.01218175592407305,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,0.00861243408058352,0.008448481709128777,-0.0035420390565036645,0.02519838138051122,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.005213270142180096,0.004238991426539886,-0.000945626477541371,0.010961590296495904,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,1.1102230246251566e-17,0.08660254037844385,-0.125,0.10526315789473678,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_RGCN_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.13517290552584665,0.04240347309877372,0.05327978257645784,0.21542565522604412,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_RGCN_M11,left_minus_right,company_only_fixed_five_fits,ap,0.0034616122878733412,0.001278945313864862,-0.002881900913816868,0.016171334057841887,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_RGCN_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,-0.0012010085155528874,0.00607402757296691,-0.022443636811691207,0.024770240654476135,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_RGCN_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.005213270142180095,0.00455814788191264,-0.002837047494201878,0.015201900237529691,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_RGCN_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.050000000000000024,0.06123724356957946,-0.14285714285714288,0.2154166666666665,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.1890291146761735,0.06518820001223516,0.10241563627551885,0.28688249565564683,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,ap,0.006590403437104997,0.00184753872699191,0.001250902235336531,0.021314857283138065,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,0.014519478674960996,0.004588317343680101,0.0011048962756647336,0.038931205972644864,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.01090047393364929,0.0061793387727039325,0.0014218009478672987,0.0221711215932914,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.26,0.09617692030835673,0.028538961038960996,0.46672413793103423,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.22047177658942366,0.03004445703813121,0.12199832597722716,0.3234260154538758,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,ap,0.006994039626645282,0.0008480356766828939,0.0016634708570031573,0.021695777886315028,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,0.008546900052341266,0.012704700689283895,-0.009684127437935008,0.034428927193112226,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.012322274881516587,0.004558147881912641,0.0018957345971564003,0.02364066193853428,5,4531,8435,20,2000
STORED_MLP_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.22999999999999998,0.08366600265340754,0.03843750000000004,0.44446969696969685,5,4531,8435,20,2000
STORED_MLP_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.07194414735591208,0.030420675133602703,0.0038501962991364545,0.15643704184485183,5,4531,8435,20,2000
STORED_MLP_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,ap,0.002572326716711538,0.0015678155601602944,-0.001968999078701093,0.013284241055348605,5,4531,8435,20,2000
STORED_MLP_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,-0.002093856747860422,0.009159776449419562,-0.02167227651112823,0.019595415559828078,5,4531,8435,20,2000
STORED_MLP_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.0037914691943127963,0.005455385987308691,-0.0009456264775413725,0.009478672985781991,5,4531,8435,20,2000
