condition,seed,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,p5_unified,p5_archived
REVERSE_SAGE_G6,456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_SAGE_G6,789,8435,422,2,2,0,0.0,0.0,0.0,0.0
REVERSE_SAGE_M11,1024,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
REVERSE_SAGE_M11,123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
REVERSE_SAGE_M11,42,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_SAGE_M11,456,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_SAGE_M11,789,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M5,42,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Lasso_M5,123,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Lasso_M5,456,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Lasso_M5,789,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Lasso_M5,1024,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
TABUW_Lasso_M10,42,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M10,123,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M10,456,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M10,789,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M10,1024,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M11,42,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M11,123,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M11,456,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
TABUW_Lasso_M11,789,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
