condition,resampling_scheme,metric,mean_of_five_fit_metrics,seed_sd,ci_low,ci_high,replicates
STORED_GCN_M11,company_x_matched_seed,ap,0.00434756216931449,0.0012803315810670853,0.0023645345185443747,0.008876033291750587,2000
STORED_GCN_M11,company_x_matched_seed,f1_val_threshold,0.0,0.0,0.0,0.0,2000
STORED_GCN_M11,company_x_matched_seed,p_at_5pct,0.0037914691943127963,0.0035937798313040526,0.0,0.009004739336492892,2000
STORED_GCN_M11,company_x_matched_seed,r_at_10fpr,0.18,0.1036822067666386,0.05454545454545454,0.3520235294117646,2000
STORED_GAT_M11,company_x_matched_seed,roc_auc,0.6114165181224005,0.0352751581187343,0.4931078788132224,0.719443860093436,2000
STORED_GAT_M11,company_x_matched_seed,ap,0.003943925979774205,0.0006707761908673941,0.0020801363205135946,0.008339309074672728,2000
STORED_GAT_M11,company_x_matched_seed,f1_val_threshold,0.00597257862261973,0.009762874791759735,0.0,0.023532999062410808,2000
STORED_GAT_M11,company_x_matched_seed,p_at_5pct,0.002369668246445498,0.002369668246445498,0.0,0.007600950118764846,2000
STORED_GAT_M11,company_x_matched_seed,r_at_10fpr,0.21000000000000002,0.07416198487095661,0.0727090909090909,0.35,2000
STORED_SAGE_M11,company_x_matched_seed,roc_auc,0.7599441473559121,0.022391139772987536,0.630715366247931,0.8679755608989774,2000
STORED_SAGE_M11,company_x_matched_seed,ap,0.008365638889707948,0.0009835058681005294,0.004027678591422676,0.018160543054162554,2000
STORED_SAGE_M11,company_x_matched_seed,f1_val_threshold,0.016613335422821417,0.011707892386440828,0.0015444015444015444,0.03976751490235474,2000
STORED_SAGE_M11,company_x_matched_seed,p_at_5pct,0.010900473933649289,0.003179243569904914,0.002369668246445498,0.020960486322188405,2000
STORED_SAGE_M11,company_x_matched_seed,r_at_10fpr,0.41,0.04183300132670379,0.18456521739130435,0.63,2000
STORED_RGCN_M11,company_x_matched_seed,roc_auc,0.7158027332144978,0.03138176714399224,0.5964753575544628,0.8301835615256046,2000
STORED_RGCN_M11,company_x_matched_seed,ap,0.007535635926011998,0.0011208473678241222,0.003531788444214286,0.02020299721227488,2000
STORED_RGCN_M11,company_x_matched_seed,f1_val_threshold,0.015971088540194807,0.0022241301483199066,0.0,0.043296048730377346,2000
STORED_RGCN_M11,company_x_matched_seed,p_at_5pct,0.00995260663507109,0.0010597478566349706,0.0023584905660377358,0.01943243349731512,2000
STORED_RGCN_M11,company_x_matched_seed,r_at_10fpr,0.35,0.061237243569579464,0.15555555555555556,0.575036764705882,2000
REVERSE_GCN_M11,company_x_matched_seed,roc_auc,0.818114081996435,0.01451856952192331,0.7540495605623084,0.8759154737448883,2000
REVERSE_GCN_M11,company_x_matched_seed,ap,0.008301840605057838,0.0009093656710046962,0.004554247173538346,0.016527557119752626,2000
REVERSE_GCN_M11,company_x_matched_seed,f1_val_threshold,0.008573679995391104,0.002067813064939901,0.0,0.02852754802106747,2000
REVERSE_GCN_M11,company_x_matched_seed,p_at_5pct,0.005687203791469195,0.002701837500234924,0.00047281323877068556,0.013208327757705514,2000
REVERSE_GCN_M11,company_x_matched_seed,r_at_10fpr,0.47000000000000003,0.0670820393249937,0.2559636363636364,0.6777898550724637,2000
REVERSE_GAT_M11,company_x_matched_seed,roc_auc,0.7122774806892455,0.08801900092906456,0.6075739669384667,0.8096213701740804,2000
REVERSE_GAT_M11,company_x_matched_seed,ap,0.0052841779736329565,0.0025271851431531646,0.0027645178629234234,0.011255161226851978,2000
REVERSE_GAT_M11,company_x_matched_seed,f1_val_threshold,0.003525104308358165,0.002004921401997347,0.0007792585066829961,0.0073508856826935256,2000
REVERSE_GAT_M11,company_x_matched_seed,p_at_5pct,0.006161137440758294,0.00594782009384414,0.0009456264775413711,0.014150943396226415,2000
REVERSE_GAT_M11,company_x_matched_seed,r_at_10fpr,0.16999999999999998,0.19235384061671346,0.02219298245614035,0.39202758620689643,2000
REVERSE_SAGE_M11,company_x_matched_seed,roc_auc,0.8173416518122399,0.021035354993418083,0.7393377899509859,0.8863132598610154,2000
REVERSE_SAGE_M11,company_x_matched_seed,ap,0.009146044357349248,0.0014334634224235213,0.0048899932504365045,0.01796257174822189,2000
REVERSE_SAGE_M11,company_x_matched_seed,f1_val_threshold,0.005907044594377476,0.0054334101322289574,0.0,0.019902933358648185,2000
REVERSE_SAGE_M11,company_x_matched_seed,p_at_5pct,0.00947867298578199,0.0023696682464454974,0.0023584905660377358,0.019003506390679784,2000
REVERSE_SAGE_M11,company_x_matched_seed,r_at_10fpr,0.43999999999999995,0.09617692030835673,0.2132941176470588,0.6727840909090905,2000
REVERSE_RGCN_M11,company_x_matched_seed,roc_auc,0.6967153891859775,0.044227952355299215,0.5532996808028878,0.8291291760843479,2000
REVERSE_RGCN_M11,company_x_matched_seed,ap,0.007476353318546146,0.0007043358449400703,0.0036726567326060395,0.016017497481698558,2000
REVERSE_RGCN_M11,company_x_matched_seed,f1_val_threshold,0.015720487190513884,0.004872599862908691,0.0,0.0353405742525375,2000
REVERSE_RGCN_M11,company_x_matched_seed,p_at_5pct,0.00947867298578199,0.0016756084862240461,0.0018957345971563982,0.018527315914489313,2000
REVERSE_RGCN_M11,company_x_matched_seed,r_at_10fpr,0.38999999999999996,0.06519202405202651,0.2,0.6153999999999998,2000
